,Review,Class
0,bdnilom2511,1
1,So good apps,1
2,it consumes too much data,1
3,Awsome app,1
4,Excellent to this app,1
5,PRAMOD RAY,1
6,"This App is great to me , i love this App , this App is best App in All App.",1
7,Lovely App's,1
8,Trash.,1
9,Mohijoj,1
10,❤️🤘,1
11,WhatsApp,1
12,Wow,1
13,Great app,1
14,Good,1
15,Hate this app I cut off all notifications annoying!,1
16,"Add ""only messenger connected id"" remove option like older version! 😊",1
17,Good,1
18,It kepsying cannot send all of sudden!!! Weidd,1
19,Superb,1
20,Vary vary good,1
21,Good,1
22,tempray,1
23,بقولك . ................. تةعىغرب٤سث٤,1
24,Good,1
25,Mavelouse,1
26,Great app! Works well for me. Updates were nice also thanks so much..,1
27,New ubdate is so bad.. My phone is getting crushed every time why i go to deactivate my massenger account,1
28,Nice apps is super easy for to,1
29,My phone per,1
30,Incs,1
31,nice position,1
32,Puck,1
33,"good,,",1
34,Facebook needs a Facelyft.,1
35,"Well its been amazing for as long as I've had it but there's currently a bug of sorts with group chats, the nickname ability isn't working. And we're not sure how to fix it.",1
36,It was good,1
37,কেউ মেসেজই দেয় না🥹,1
38,Yes Good,1
39,this nice app,1
40,Loved it 🤍,1
41,Like,1
42,Used to be a good app. Now it doesn't give notifications when people message. Would be five if it gets fixed.,1
43,Awesome service,1
44,Definitely a no! Its so awful and laggy and it bugs always!! What the H is wrong with messenger!!! I hate this app!,1
45,Meh,1
46,Dowload parablam,1
47,Still can't view my past messages,1
48,Best app of tha world,1
49,Wonderful,1
50,Excellent,1
51,This App is not working.,1
52,Amazing,1
53,good,1
54,Very bad.,1
55,good,1
56,It's pretty cool but my problem right now is that i can't edit my personalize user link,1
57,Why is it always making me restricted!!!! Even tho i doesn't do anything!!,1
58,Every Time i update apps. Story button disappeared. Why it does all time? Its soo irritating. 😑😑,1
59,Very gud app,1
60,very nice,1
61,Please fix the account switching pop up,1
62,Nice,1
63,MeA Chu kALaS hEart Doud wouthmut emi app seeth 🥺,1
64,Awesome,1
65,Best app to keep in contact with family and friends that live far away.,1
66,for me very useful,1
67,It's good,1
68,Recent update has cause me to keep force closing the app to send pictures and such in chats,1
69,GOOOD,1
70,"The selfie on my Galaxy S23 Ultra sucks! I don't whats happening but its my old android has decent quality compared to my new phone. I hope you fix this guys, I love using your app. 🥺",1
71,Good app,1
72,Loved it,1
73,Nice app,1
74,Good connection,1
75,Half the time pictures wont send and i have to uninstall and renenstall every single time 1/10 used to be great,1
76,Good,1
77,Good,1
78,Very faster than others,1
79,22سنه5,1
80,Good,1
81,Good,1
82,It's ok,1
83,Xoss app,1
84,Nice,1
85,"Keep getting ""against community standards"" when i haven't even used the app. They want you to use their app but also restrict you from using the app. Ridiculous rules.",1
86,Romnan,1
87,Good for communication,1
